"2009/03/22_00:00","-","205.209.143.94/000f1.htm","-","Trojan","-","33314","0","0"
"2009/03/22_00:00","-","205.209.143.94/000f2.htm","-","Trojan","-","33314","0","0"
"2009/04/27_00:00","-","200.122.168.229/dl/goldvipclub/","-","trojan Casino","-","3790","0","0"
"2009/04/27_00:00","-","200.122.168.229/dl/goldvipclub/TrackDownload.dll?DID=991392","-","trojan Casino","-","3790","0","0"
"2009/05/08_00:00","diaryofagameaddict.com","208.76.80.16","ossus.tchmachines.com.","directs to exploits","Adrian Chua / adrian@fusion-studios.com","25767","0","0"
"2009/05/08_00:00","espdesign.com.au","64.49.219.215","-","directs to exploits","-","10532","0","0"
"2009/05/08_00:00","hughesprocessing.com","208.78.116.100","-","directs to exploits","Albert Andres / surfcitydesigngroup@yahoo.com","14287","0","0"
"2009/05/08_00:00","iamagameaddict.com","208.76.80.16","ossus.tchmachines.com.","directs to exploits","Adrian Chua / adrian@fusion-studios.com","25767","0","0"
"2009/05/08_00:00","kalantzis.net","208.83.210.33","box7.vistapages.com.","directs to exploits","John Kalantzis JOHN.KALANTZIS@VIDEOTRON.CA","13826","0","0"
"2014/04/21_05:33","famososvideo.com/Aryane_VideoPorno_Amador_parte01.rar","187.17.111.101","-","Trojan.Banload","E-mail: walter.anuciante@gmail.com","7162","0","0"
"2009/05/08_00:00","slightlyoffcenter.net","208.76.80.19","yavin.tchmachines.com.","directs to exploits","Jennifer Huang / jch1@cec.wustl.edu","25767","0","0"
"2009/05/08_00:00","toddscarwash.com","204.12.47.43","toddscarwash.com.","directs to exploits","david@lamicrochip.com","20021","0","0"
"2009/05/08_00:00","wwstationery.ca","208.93.234.68","sabre.mdswireless.com.","directs to exploits","Name: WW Stationery Inc. / rad@hygrid.com","13826","0","0"
"2009/05/13_00:00","-","72.10.169.26/loader.exe","-","Cutwail/Pushdo","-","36666","0","0"
"2009/05/13_00:00","tubemoviez.com","63.251.171.80","-","redirects to rogue","setraff@gmail.com","14744","0","0"
"2009/05/17_00:00","ipl.hk","77.232.66.18","77-232-66-18.static.servage.net.","redirects to exploits","IP PAK LUN ipl.hk@alan-ip.com","29671","0","0"
"2009/05/18_00:00","-","85.13.236.154/v50/?v=66&s=I&uid=1824245000&p=13310&q=","85.13.236.154.reverse.coreix.net","Malware calls home","-","31708","0","0"
"2009/05/18_00:00","crackspider.us/toolbar/install.php?pack=exe","85.159.233.47","-","Adware.Cracksearch.A","Varavva Brothers Ltd. / bestserials@mail.ru","43350","0","0"
"2009/05/20_00:00","duplaouroeprata.com.br/image/tmp/36/how-to-use-a-condom.php","200.219.224.48","host6-48.brs.com.br.","redirects to Exploits","-","16397","0","0"
"2009/05/20_00:00","pos-kupang.com/","202.146.4.119","-","redirects to exploits","PT Timor Media Grafika / hansen_pah@yahoo.com","18365","0","0"
"2009/05/20_00:00","rupor.info","62.149.12.191","rupor.info.","redirects to exploits","Viktor Tjutjun / support@rupor.info","15497","0","0"
"2009/05/20_00:00","svision-online.de/mgfi/administrator/components/com_babackup/classes/fx29id1.txt","78.31.65.216","-","RFI","Juergen Voegeli / info@xantron.de","24961","0","0"
"2009/05/22_00:00","officeon.ch.ma/office.js?google_ad_format=728x90_as","88.191.20.248","ns2.venez.net.","directs to Exploits","-","12322","0","0"
"2009/05/22_00:00","sn-gzzx.com","222.76.215.12","-","Exploits","y113991122@yahoo.com.cn","4134","0","0"
"2009/05/22_00:00","sunlux.net/company/about.html","211.234.100.137","-","directs to Exploits","-impala@nate.com","3786","0","0"
"2009/05/23_00:00","-","219.148.34.9/dmdown/sss.exe","-","Trojan","-","17672","0","0"
"2009/05/23_00:00","count.fuckunion.com/cnzz/update.txt","216.245.193.72","72-193-245-216.reverse.lstn.net.","Malware calls home","wangyunhe@vip.sina.com.cn","46475","0","0"
"2009/05/23_00:00","outporn.com","63.217.31.51","web-r1-h51.globecorp.net.","directs to sites with exploits","Long Mechies LLC / axel1230@gmail.com","3491","0","0"
"2009/05/23_00:00","timothycopus.aimoo.com","74.52.179.179","b3.b3.344a.static.theplanet.com.","directs to trojan","WhoisGuard / 2cb93a446cab4816bf9b3dbf18d9b3c2.protect@whoisguard.com","21844","0","0"
"2009/05/23_00:00","xindalawyer.com","218.5.79.63","-","Exploits","jimmy@hn12345.com","4134","0","0"
"2009/05/24_00:00","freeserials.spb.ru/key/68703.htm","91.195.110.99","91-195-110-99.hmrtelecom.ru.","TDSS","-","43671","0","0"
"2009/05/26_00:00","deletespyware-adware.com","174.120.200.218","da.c8.78ae.static.theplanet.com.","Fake Antivirus","office@deletespyware-adware.com","21844","0","0"
"2009/05/26_00:00","orbowlada.strefa.pl/text396.htm","217.74.66.183","www.strefa.pl.","Directs to rogue","-","16138","0","0"
"2009/05/28_00:00","ruiyangcn.com","61.139.126.15","-","directs to exploits","inicn@126.com","4134","0","0"
"2009/05/28_00:00","zkic.com","174.37.172.162","www.se.parahost.com.","directs to exploits","zhirong yang cdyzr@yahoo.com.cn","36351","0","0"
"2009/05/31_00:00","adserving.favorit-network.com/eas?camp=19320;cre=mu&grpid=1738&tag_id=618&nums=FGApbjFAAA","91.209.163.184","vemw04.c76.fvtn.net.","-","2ffba9ee4ff19e8587163b873c03ff22-913471@contact.gandi.net","48445","0","0"
"2009/05/31_00:00","cracks.vg/d1.php","111.92.237.115","server111092237115.i-services.com.hk.","Directs to rogue","-","45816","0","0"
"2009/06/03_00:00","-","63.227.18.137/id5.txt","mail.vail-valley.com","RFI","-","209","0","0"
"2009/06/03_00:00","juicypussyclips.com","74.81.93.72","ip72.envelopebizs.com.","Directs to sites with exploits","Niels Musschoot / adolf.web@gmail.com","27413","0","0"
"2009/06/04_00:00","-","202.91.74.136/bjp3/id3.txt","-","RFI","-","9830","0","0"
"2014/04/12_00:13","security-dtspwoag-check.in/js?t=53616c7465645f5f7e2d5288258224139f51230470c31604c4c8e719a5d4235be674c750dda55069abbe4d9e12db22d8609c369df2547f2f","198.50.239.99","-","Browser.Ransomware","Claude Lemieux / unger@security-dtspwoag-check.in","16276","0","0"
"2009/06/05_00:00","nuptialimages.com","64.6.241.22","s22.n241.n6.n64.static.myhostcenter.com.","directs to exploits","NEDHORN@COMCAST.NET","11343","0","0"
"2009/06/06_00:00","andysgame.com","38.113.1.102","ip38-113-1-102.yourhostingaccount.com.","directs to exploits","Contactprivacy.com / andysgame.com@contactprivacy.com","29873","0","0"
"2009/06/07_00:00","bezproudoff.cz","93.185.104.30","www20.pipni.cz.","directs to exploits","-","43541","0","0"
"2009/06/07_00:00","ceskarepublika.net","93.185.104.27","www17.pipni.cz.","directs to exploits","pvachtl@quick.cz","43541","0","0"
"2009/06/07_00:00","f-kotek.com","93.185.104.28","www18.pipni.cz.","directs to exploits","Filip Kotek K-photogapher / filip.vytvar@centrum.cz","43541","0","0"
"2009/06/07_00:00","hotspot.cz","93.185.104.30","www20.pipni.cz.","directs to exploits","Simon Zaruba / simzaruba@seznam.cz","43541","0","0"
"2014/04/02_08:53","www.gmcjjh.org/DHL","198.252.70.200","stats.green.mysitehosted.com.","Document.zip Trojan.Kryptic","Somnath gmjjh / rexinfosolution@gmail.com","36351","0","0"
"2014/04/12_00:13","security-siqldspc-check.in/js?t=53616c7465645f5ff8a91dc1fdfe2ba8169352dd7e2c267527ee11857924a861d44d97d3de40d79bf3799e502b748fc8581f02cac606f7e1","198.50.239.99","-","Browser.Ransomware","Madeleine Eade / cragwitch@security-siqldspc-check.in","16276","0","0"
"2009/06/07_00:00","nerez-schodiste-zabradli.com","93.185.104.29","www19.pipni.cz.","directs to exploits","Petr Danek - Danek a Danek / danek-danek@volny.cz","43541","0","0"
"2009/06/07_00:00","nordiccountry.cz","93.185.104.28","www18.pipni.cz.","directs to exploits","-","43541","0","0"
"2009/06/07_00:00","nowina.info","93.185.104.30","www20.pipni.cz.","directs to exploits","Gregor Stopa / gstopa@volny.cz","43541","0","0"
"2009/06/07_00:00","obada-konstruktiwa.org","81.2.194.138","c138un.forpsi.com.","directs to exploits","Milos Brejcha Milos Brejcha / milos@kbj.cz","24806","0","0"
"2009/06/07_00:00","otylkaaotesanek.cz","81.2.195.176","d176ud.forpsi.com.","directs to exploits","-","24806","0","0"
"2009/06/07_00:00","pb-webdesign.net","93.185.104.29","www19.pipni.cz.","directs to exploits","Petr Beran Beran / dom-reg-joker@ignum.cz","43541","0","0"
"2009/06/07_00:00","pension-helene.cz","81.2.195.176","d176ud.forpsi.com.","directs to exploits","helene@tiscali.cz","24806","0","0"
"2009/06/07_00:00","podzemi.myotis.info","93.185.104.29","www19.pipni.cz.","directs to exploits","Ladislav Mikes / la.mi@volny.cz","43541","0","0"
"2009/06/07_00:00","smrcek.com","93.185.104.29","www19.pipni.cz.","directs to exploits","Pavel Jedlicka / dom-reg-joker@ignum.cz","43541","0","0"
"2009/06/07_00:00","spekband.com","93.185.104.30","www20.pipni.cz.","directs to exploits","Michal Gancarcik / michalgancarcik@seznam.cz","43541","0","0"
"2014/04/11_11:48","m2132.ehgaugysd.net/zyso.cgi?18","66.96.223.209","-","leads to exploit kit","Registrar Abuse Contact abuse@web.com","21788","0","0"
"2009/06/07_00:00","webcom-software.ws/links/?153646e8b0a88","64.70.19.33","mailrelay.33.website.ws.","exploits","Aleksandr A Kainov / kainovalex@mail.ru","3561","0","0"
"2009/06/07_00:00","worldgymperu.com","74.54.143.242","impulse.websitewelcome.com.","directs to exploits","pp75@mixmail.com","21844","0","0"
"2009/06/07_00:00","zgsysz.com","125.65.112.23","-","directs to exploits","lans-1126@163.com","4134","0","0"
